Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TEXACO SAN BLAS,TEXACO,Carrera 3 Este No. 22 - 90 Sur,GASOLINA CORRIENTE OXIGENADA,9480,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TEXACO SAN BLAS,TEXACO,Carrera 3 Este No. 22 - 90 Sur,BIODIESEL EXTRA,9290,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SANTA ANA SUR,ESSO,CALLE 11 SUR No. 7-13,GASOLINA CORRIENTE OXIGENADA,9299,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SANTA ANA SUR,ESSO,CALLE 11 SUR No. 7-13,BIODIESEL EXTRA,8990,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO  CIUDAD BOLIVAR,BIOMAX,CALLE 68 SUR 45C  - 25,BIODIESEL EXTRA,9197,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO  CIUDAD BOLIVAR,BIOMAX,CALLE 68 SUR 45C  - 25,GASOLINA CORRIENTE OXIGENADA,9318,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ LAURELES,TEXACO,CALLE 71A SUR No. 78B-86,BIODIESEL EXTRA,9148,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ LAURELES,TEXACO,CALLE 71A SUR No. 78B-86,GASOLINA CORRIENTE OXIGENADA,9317,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ VILLA JAVIER,OCTANO,CARRERA 7 No. 8-13 SUR,GASOLINA CORRIENTE OXIGENADA,9299,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ VILLA JAVIER,OCTANO,CARRERA 7 No. 8-13 SUR,BIODIESEL EXTRA,8990,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,GASOLINA EXTRA OXIGENADA,16200,A
